POST_C;PLANT_C;INDUS_TYPE;CAI;LPC;CGL_C;YEAR_MONTH;PROD_QT;CREATION_DT;UPDATE_DT;MATERIAL_C
KM;CNO;MC;315928;B;K315928B015;201506;8876;05/11/2020 10:49;;ML_A
KM;BBG;MC;322584;E;K322584E037;201503;15141;05/11/2020 10:49;;ML_B
KM;UFR;MC;314678;R;K314678R102;201410;3146;05/11/2020 10:49;;ML_B
KM;UFR;MC;354085;D;K354085D031;201507;11;05/11/2020 10:49;;ML_B
KM;UFR;MC;354085;D;K354085D036;201604;2742;05/11/2020 10:49;;ML_B
KM;NYH;MC;354085;D;K354085D014;201305;165;05/11/2020 10:49;;ML_B
KM;NYH;EL;141508;A;E602469D002;202301;40;04/02/2023 22:56;25/02/2023 23:16;ML_D
KM;UFR;MC;352751;B;K352751B003;201311;2760;05/11/2020 10:49;;ML_B
KM;UFR;MC;352751;B;K352751B004;201401;2250;05/11/2020 10:49;;ML_B
KM2;VLD;MC;458724;D;K458724D006;202302;4655;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM2;TC2;MI;892268;V;R892268V002;202301;7;04/02/2023 22:56;25/02/2023 23:16;ML_C
KM;VLD;MC;488356;T;K488356T001;201403;312;05/11/2020 10:49;;ML_B
KM;VLD;MI;488356;T;R488356T002;201309;18;05/11/2020 10:49;;ML_B
KM;CNO;MC;315928;B;K315928B004;201310;5700;05/11/2020 10:49;;ML_A
KM;BBG;MC;314678;R;K314678R098;201406;115;05/11/2020 10:49;;ML_B
KM;UFR;MC;314678;R;K314678R100;201410;4760;05/11/2020 10:49;;ML_B
KM;BBG;MC;314678;R;K314678R127;201510;8080;05/11/2020 10:49;;ML_B
KM;VLD;MC;314678;R;K314678R128;201504;1063;05/11/2020 10:49;;ML_B
KM;UFR;MC;314678;R;K314678R093;201403;1922;05/11/2020 10:49;;ML_B
KM;BBG;MC;314678;R;K314678R089;201406;17102;05/11/2020 10:49;;ML_B
KM;BBG;MC;314678;R;K314678R089;201404;18185;05/11/2020 10:49;;ML_B
KM A;UFR;MC;542075;A;K542075A023;201601;2769;05/11/2020 10:49;;ML_A
KM;UFR;MC;542075;A;K542075A023;201601;2769;05/11/2020 10:49;;ML_A
